date_id,precipitation,temp_max,temp_min,wind,humidity,pressure,solar_radiation,visibility,weather_id,cloudiness_id,estacion_id
1,44.5994827691,24.6233341172,14.1947875738,6.3430678601,72.1648375030,1047.1592659545,355.7192602833,2.5540309673,1,1,1
2,42.0050453783,5.4246908786,4.7540551172,1.9650570537,61.8476054098,1015.7122752777,320.1285200638,16.9600259356,2,1,1
3,40.0418073437,4.6260018579,2.7527172034,8.2788391559,70.8671550594,1032.3460483243,206.2942256282,5.2644220307,1,1,1
4,11.7333103582,33.9007029190,15.5857941033,4.3690151683,82.6927410976,1018.3289733574,340.8295620663,1.6504435598,2,1,1
5,27.7605981752,18.5069817895,3.0540950894,4.3657306324,93.4954075256,1040.7797592090,1171.1002622349,5.2743004534,3,2,1
6,16.1717264560,4.6522732794,0.3620421313,7.3792414530,52.7703921260,1005.3655948538,568.7058535105,17.4834291313,1,1,1
7,4.2204255937,5.9670572217,-6.1568255138,6.0040376547,34.2202799191,1032.6001868313,72.6699128408,1.5171439180,3,1,1
8,14.1171540228,26.3521669743,-1.9594743322,3.7495665466,50.7972809877,984.6141191708,444.7936670024,0.4111918335,2,1,1
9,32.8687098591,18.9676076757,11.5419766028,0.9721009310,54.5463015082,1041.2917850165,853.3031975642,5.2140212726,2,2,1
10,11.9797661063,22.1580432074,-4.7702518499,1.0353544129,92.1622348423,989.7826942984,624.9026546424,8.5574482076,2,3,1
11,15.7790579583,30.4692066446,8.0108946552,4.7644845583,38.2311673176,998.4420300729,1053.1762819565,17.0491213341,2,2,1
12,20.9390829367,21.8665229256,6.4807718959,4.3624460966,33.4579770448,991.4686055741,1067.9909373764,2.8495836985,2,2,1
13,22.8517428077,18.8483913990,3.3554729754,4.3690151683,78.6112097602,1048.7773336035,1184.5399189701,18.3769297603,3,2,1
14,23.1685226578,18.9079995373,3.0540950894,4.4789762612,32.1110314402,1011.9510690817,860.5307649178,19.3961169804,3,2,1
15,23.4853025078,18.9676076757,2.7527172034,4.5398388110,78.5264281030,1020.9482711125,852.9627140786,5.4191986731,3,2,1
16,33.7006262255,2.3061759755,-6.4008873551,6.7093729694,51.1669730361,986.4501496007,963.0069963379,8.5181782146,1,2,1
17,25.5503983601,18.9676076757,1.0448374747,4.3690151683,46.0605044444,983.8974883110,680.6499900512,7.9549683073,3,1,1
18,43.8534308830,-1.4065170032,-5.3694329766,6.2366822298,94.8834913672,1033.6559473463,678.0283218999,15.2182546724,1,1,1
19,25.5503983601,14.0088061442,-3.0158457756,8.1232013029,57.7318856908,1049.8171014290,42.3935642941,17.8944624593,1,1,1
20,15.0570734670,22.6368523859,-5.5285948303,0.5340395545,79.7122921128,1046.7743692959,43.3863840394,1.0867016855,2,1,1
21,51.5936270828,3.3974188223,-1.0220637762,6.2230981660,38.3184969549,1008.8172093067,164.7380598985,17.8971934479,1,1,1
22,44.4811801974,19.8234994782,6.2334004356,6.6321059614,72.5449133024,1044.4377310733,856.6715853921,4.0982986494,1,2,1
23,14.6108002833,26.6857197498,-2.5253359739,7.7165402696,60.2585030576,1046.0608082809,1035.5096197833,8.0775059723,1,2,1
24,31.4140352841,13.0047233709,9.1492647363,5.2063075031,83.7209162542,1028.9154725791,125.2556318178,13.2136276289,1,1,1
25,44.1278039421,0.9157656234,-2.3468427673,3.4582993428,48.9397457513,989.1753970917,945.0274929948,13.3750988462,2,2,1
26,5.2385275850,18.1655721800,5.3268807677,0.7510511409,34.5892983290,1011.7391424035,820.7939216050,12.4505751488,3,2,1
27,22.4893878656,18.9079995373,1.4643456206,4.5643880826,39.6591637433,1041.1663127975,44.4881458807,4.1803679459,3,1,1
28,22.1270329235,18.8483913990,1.0448374747,4.5889373541,55.7417985503,1047.0683383583,1175.2861320201,16.9831938469,3,2,1
29,18.7471652506,13.2015959708,10.3519451380,6.2820361137,66.8368293275,1029.0148787658,1082.8182315252,16.7115091081,1,2,1
30,22.8517428077,18.9676076757,1.8838537664,4.5889373541,91.6811492988,1027.5651947574,873.7048396827,12.8259774170,3,2,1
31,34.8944562511,19.8353082283,15.5153697649,8.6685955362,61.0300042128,997.6382826186,949.3507778656,5.4437170308,1,2,1
32,10.7770187676,28.3199174900,8.6178641045,8.1984097722,58.9141228742,1039.4089547236,336.7586237761,3.9075441658,1,1,1
33,29.9707979903,23.5133048113,-5.4718379361,3.2123774992,99.6165178468,982.8510113567,590.0956564332,8.1351896558,2,3,1
34,15.8424179625,30.7156478335,15.1120891720,5.2373858863,37.8840915752,1043.3803874293,404.0522764147,17.7752437895,1,1,1
35,15.8750941935,15.8625866668,13.3044694591,3.4946362387,87.0686076832,984.4501267404,666.7898549516,19.5405783601,2,3,1
36,23.6248677354,18.6935191994,2.1602470563,4.5975653283,79.1789031795,990.1461092042,152.6593322545,5.4253622617,3,1,1
37,17.1217534294,26.1956789580,-3.4653297187,0.4790787660,42.6041556508,1029.7899767363,854.6597425773,7.2288126079,2,2,1
38,45.1909214511,4.6616661242,-1.7732863019,0.6419513304,38.0201182737,1038.6749194974,21.9728693637,0.9913667654,2,1,1
39,16.6070118813,32.4886669369,17.3918032126,8.9399471495,40.2802708136,1028.9423146074,766.0203723935,16.3932280801,1,1,1
40,42.2978032627,18.8483913990,6.9172453547,3.7401358428,75.1026758134,995.4873891876,852.3423654400,3.0205481204,2,2,1
41,21.9141330699,5.9039458594,-5.1969226586,0.5685073101,90.8999922002,993.6907549573,579.9889643339,1.3163831693,2,1,1
42,23.4853025078,5.5842679048,4.4585396276,4.5889373541,58.3905446861,985.5098685289,514.2651233074,19.0409705157,2,1,1
43,23.6607478241,18.1804819526,2.3911572703,4.7257244819,57.3280523076,1032.4079888729,186.5100961947,2.3751326535,3,1,1
44,35.4412536371,13.6384630869,8.6450343616,2.0823254488,88.9382702795,986.6736361075,8.1313529814,13.1939655677,2,3,1
45,23.7125903935,18.3582273639,2.5719372368,4.7377366283,59.6906580649,1021.0512036483,1058.4040494043,15.6050138492,3,2,1
46,49.4208949759,17.4285169099,-3.6970941681,0.6484362850,45.5663556124,1017.6065513693,1011.8803832657,2.8881147377,2,2,1
47,23.7644329630,18.1804819526,2.3911572703,4.7257244819,53.5855638975,1002.5511763728,957.8910666277,7.6905104583,3,2,1
48,35.9641537487,-0.6370187781,-5.1056924806,6.0391208312,75.3728343158,1025.0394699948,543.1392798383,4.7781024798,1,1,1
49,25.5503983601,18.1655721800,2.3911572703,4.6061933024,80.8787610099,1035.1726581438,247.5794289130,14.1455631560,3,1,1
50,26.3186587076,17.9008668821,2.5719372368,4.5975653283,32.0808539132,1000.4617092279,1001.0612386440,7.5257236081,3,2,1
51,42.7464965090,19.2518378685,3.3554729754,2.5622809442,75.0094681163,1040.5090532948,427.0151711564,10.4095413229,2,1,1
52,27.0869190551,17.6361615842,2.2736338924,4.5889373541,73.9531142139,1014.2666568634,875.8522336418,14.6405420777,3,2,1
53,1.5584788868,17.0665517996,1.0448374747,3.6996246563,46.6521953231,1045.9862653596,1188.6582552208,1.0747597602,3,2,1
54,49.4728073660,28.8166455690,10.7549751531,1.3260152833,95.0533134711,983.0843478271,399.4423030308,3.2828714080,2,3,1
55,53.4510605563,33.5906889166,-1.7082075706,2.2239298729,53.9217834389,991.0276162420,1182.2213301249,16.6703105336,2,2,1
56,20.3624256881,16.2369114384,0.7872732544,2.6807699285,47.6159431800,1010.2525573796,970.4395550746,15.2694407007,2,2,1
57,25.5503983601,18.1655721800,1.8838537664,4.6061933024,57.4419777350,991.8134784689,733.1380771127,16.4019651218,3,1,1
58,22.8517428077,4.9333739125,4.3944164703,4.7497487746,93.2295908663,1044.3253065313,161.1349948706,7.5969568387,2,1,1
59,19.1861568191,22.5494893449,0.2838138569,6.6533136220,71.4606703336,986.5924853578,839.8513770307,7.7079081738,1,2,1
60,22.1270329235,26.4867421839,-1.7143832292,5.1837220353,89.4996570488,984.6808448281,904.6266555940,9.0815984982,1,2,1
61,14.9076715917,23.9716437895,11.4555266059,0.7452326780,99.4328398980,1043.5905890721,565.3498457515,1.0246298574,2,1,2
62,38.9604826846,30.9148759052,5.0117596902,7.8981245973,69.6354142535,1049.5929953996,626.1630455194,4.2888166180,1,1,2
63,7.5836060334,5.8603434781,4.7469332288,1.2790446940,89.8396305173,1022.7215677967,538.7029432929,10.5332198145,3,1,2
64,37.1961879539,27.6166324179,-4.7185314056,4.6061933024,78.5497604409,1023.6861166045,946.3224159874,19.8518090793,2,2,2
65,29.3313862768,19.1641582999,-6.0888568470,4.5398388110,36.3094952642,994.2094164850,577.0528922776,14.9468259094,2,1,2
66,47.7719090975,3.0148006397,-0.1064028902,1.1437016983,50.1475047270,984.6597776557,711.8548240282,18.4779458294,2,1,2
67,27.0869190551,34.6150032346,-3.1696298611,2.7919614637,49.5801898627,1046.4284391955,1020.2736138349,12.7258488009,2,2,2
68,32.6430666407,31.2925686862,-4.9742839191,7.9081552920,41.0282978190,1003.0402505711,400.1833027555,15.7259578874,1,1,2
69,21.0531753865,4.4600404198,1.9293368423,0.8039836984,91.1888040339,1024.4826268863,191.5913409778,3.7823209663,2,1,2
70,41.5346648287,31.3985544464,14.2035359767,2.8981511919,68.0455735781,1015.7574501097,794.7648907484,4.4459111213,2,1,2
71,1.1823292435,0.4453687324,-4.0211971728,6.5898625137,39.9113154566,1039.1413343871,935.6033167041,7.1819033581,3,2,2
72,11.1749053600,2.5566149418,-1.7482584804,7.0851426222,80.3907099326,994.1505830040,1131.2769528249,15.1450286017,1,2,2
73,21.8872610086,18.5386469999,-1.2975273515,6.2845449996,38.7820345330,1032.7885856727,684.0479060618,2.1283595018,1,1,2
74,25.4467800785,17.6361615842,2.6283474483,4.6061933024,47.0433473304,1016.6945758311,392.2623801180,1.0051195459,3,1,2
75,16.8306398573,33.6010674537,3.0014868670,3.1693688984,35.1580291652,1044.5132368440,194.1034021919,11.4614687701,2,1,2
76,15.3561751385,34.8040442422,5.5531547760,6.2847654736,49.3841128899,1027.8709765325,1122.3353435046,16.1141820893,1,2,2
77,3.4553475994,6.5664642421,1.8838537664,6.8140942596,81.7623367868,985.7323078871,893.0165783149,10.2531023103,3,2,2
78,15.0353139313,17.6361615842,-4.6108297601,7.4950246147,43.7612812928,1002.2241259434,922.1433106322,3.3799642918,1,2,2
79,53.0593387960,20.5212751587,2.3911572703,2.4010494985,60.9245811775,1001.1304380725,574.1585795507,6.4685268774,2,1,2
80,44.8508040020,29.4560040496,4.6586814896,6.1281287596,65.1673922005,1016.6718982535,952.2344013258,16.8474533700,1,2,2
81,26.2668495668,17.9083217684,2.5097523593,4.5643880826,52.8900779058,1030.9027534056,461.2084006914,0.2983094993,3,1,2
82,26.2668495668,17.5323392470,2.3532300488,4.4112456867,86.9086911089,1023.6986484555,723.5788295183,13.3673101175,3,1,2
83,27.0869190551,17.4285169099,2.3153028274,4.2826525624,83.9384909662,1038.1366933116,889.8424284573,11.4978428559,3,2,2
84,28.4287470133,3.8670251747,3.4163252951,1.1451075635,45.0412726491,1027.5526286659,1176.0424204133,2.5928978534,2,2,2
85,47.2954987535,14.3921167519,6.9208964277,8.9736167322,60.9674346655,1002.9952036255,682.7142398064,1.7139384655,1,1,2
86,23.7644329630,18.5359727752,13.9285543417,6.0099263357,62.1831626119,995.3265296016,129.9420785639,14.3558179579,1,1,2
87,21.8769218666,12.6155510910,12.0150664243,6.2193866755,32.9845734474,1040.5915444167,297.8237848719,5.4108954706,1,1,2
88,0.4067766117,5.2113720728,2.2736338924,3.1612152634,35.4849462446,1017.2235831924,964.5098144390,16.1347088554,3,2,2
89,53.9558488537,15.3333756892,-3.4712988089,3.2182660482,99.0285863902,1024.9161366386,943.7951903857,19.8040010937,2,2,2
90,16.3465216360,18.1804819526,15.5157576005,5.4018736414,53.3855032487,1013.2662908924,685.4804609927,6.7417286532,1,1,2
91,46.8759713711,12.5460670048,8.7519629963,8.8550531454,31.5242496393,1039.9018307012,105.0098108784,12.3757640495,1,1,2
92,23.6607478241,16.4480980796,12.2733654660,4.7257244819,46.8665541706,1010.1752175343,123.2508845861,16.1847450642,2,1,2
93,31.4390792551,33.6940396907,-4.5218027398,7.7119180240,82.5629669475,1018.0109000916,823.7013106583,10.3009635052,1,2,2
94,26.8038888101,17.2475343547,2.3532300488,4.6659588922,63.7427208047,996.2612170253,442.3135654401,7.8395534556,3,1,2
95,46.1677901577,30.2310518323,15.0936129513,6.6045666280,89.9215731388,1030.9871288720,229.5167651296,11.2955581987,1,1,2
96,25.9838193218,17.5323392470,2.3532300488,4.7377366283,93.7577121096,1008.5112534586,1081.5919072179,16.0983207268,3,2,2
97,39.2625178609,3.7251751255,1.8734994424,1.6925762122,34.3981335066,1016.0610075576,1185.7576482213,7.0351598901,2,2,2
98,38.9641160054,-0.3769333390,-1.2958179522,4.1534322795,68.2612241959,1028.7301455025,294.8323245278,4.3612896295,2,1,2
99,41.1934652742,12.9020808424,9.9850382967,2.9872311025,72.8853496880,995.9962097793,360.9043046288,18.6516659454,2,1,2
